contig-100_0_0,K09933
contig-100_0_117,K07156
contig-100_0_118,K07245
contig-100_0_119,
contig-100_0_120,K07313
contig-100_0_121,
contig-100_0_122,
contig-100_0_123,K11392
contig-100_0_124,
contig-100_0_125,K03808
contig-100_0_126,K08968
contig-100_0_127,K03607
contig-100_0_128,K03797
contig-100_0_129,K03799
contig-100_0_130,K08169
contig-100_0_131,K19333
contig-100_0_132,
contig-100_0_133,
contig-100_0_134,
contig-100_0_135,K03704
contig-100_0_136,K03587
contig-100_0_137,K00563
contig-100_0_138,K23242
contig-100_0_139,
contig-100_0_140,K02796
contig-100_0_141,K02795
contig-100_0_142,K02794
contig-100_0_143,
contig-100_0_144,K21090
contig-100_0_145,K01752
contig-100_0_146,
contig-100_0_147,K01665
contig-100_0_148,K09917
contig-100_0_149,
contig-100_0_150,K03722
contig-100_0_151,K14742
contig-100_0_152,K07285
contig-100_0_153,K01897
contig-100_0_154,K03684
contig-100_0_155,K22444
contig-100_0_156,K22443
contig-100_0_157,K03451
contig-100_0_158,K07246
contig-100_0_159,K16135
contig-100_0_160,K03608
contig-100_0_161,K03609
contig-100_0_162,K03610
contig-100_0_163,K09902
contig-100_0_164,
contig-100_0_165,K09160
contig-100_0_166,
contig-100_0_167,K03611
contig-100_0_168,K03314
contig-100_0_169,K03603
contig-100_0_170,
contig-100_0_171,
contig-100_0_172,K00285
contig-100_0_173,K01775
contig-100_0_174,K11105
contig-100_0_175,K01297
contig-100_0_176,K08308
contig-100_0_177,K21087
contig-100_0_178,
contig-100_0_179,K02014
contig-100_0_180,K03813
contig-100_0_181,
contig-100_0_182,K02013
contig-100_0_183,K02015
contig-100_0_184,K02016
contig-100_0_185,K01194
contig-100_0_186,K05881
contig-100_0_187,K05879
contig-100_0_188,K05878
contig-100_0_189,
contig-100_0_190,
contig-100_0_191,K00261
contig-100_0_192,
contig-100_0_193,K07347
contig-100_0_194,K07346
contig-100_0_195,
contig-100_0_196,K21972
contig-100_0_197,K21973
contig-100_0_198,K21974
contig-100_0_199,
contig-100_0_200,K21976
contig-100_0_201,
contig-100_0_202,K02532
contig-100_0_203,K00847
contig-100_0_204,K01193
contig-100_0_205,
contig-100_0_206,
contig-100_0_207,K07046
contig-100_0_208,K02775
contig-100_0_209,K00064
contig-100_0_210,
contig-100_0_211,K22397
contig-100_0_212,K00048
contig-100_0_213,
contig-100_0_214,
contig-100_0_215,
contig-100_0_216,
contig-100_0_217,K06940
contig-100_0_218,K06942
contig-100_0_219,K01056
contig-100_0_220,
contig-100_0_221,K00928
contig-100_0_222,K00836
contig-100_0_223,K13745
contig-100_0_224,K03321
contig-100_0_225,K00948
contig-100_0_226,K00919
contig-100_0_227,K02494
contig-100_0_228,K02492
contig-100_0_229,K02835
contig-100_0_230,K02493
contig-100_0_231,
contig-100_0_232,
contig-100_0_233,K01627
contig-100_0_234,K19336
contig-100_0_235,K19335
contig-100_0_236,
contig-100_0_237,K07300
contig-100_0_238,K06197
contig-100_0_239,K07232
contig-100_0_240,
contig-100_0_241,K06039
contig-100_0_242,
contig-100_0_243,K07684
contig-100_0_244,K07673
contig-100_0_245,K02575
contig-100_0_246,K00370
contig-100_0_247,K00371
contig-100_0_248,K00373
contig-100_0_249,K00374
contig-100_0_250,K01433
contig-100_0_251,K09858
contig-100_0_252,K07001
contig-100_0_253,K02485
contig-100_0_254,
contig-100_0_255,K00963
contig-100_0_256,K03746
contig-100_0_257,K00857
contig-100_0_258,K04072
contig-100_0_259,
contig-100_0_260,
contig-100_0_261,K15580
contig-100_0_262,K15581
contig-100_0_263,K15582
contig-100_0_264,K15583
contig-100_0_265,K10823
contig-100_0_266,K10716
contig-100_0_267,K09901
contig-100_0_268,K06131
contig-100_0_269,K00640
contig-100_0_270,
contig-100_0_271,K09780
contig-100_0_272,K03832
contig-100_0_273,K10806
contig-100_0_274,K06190
contig-100_0_275,
contig-100_0_276,K07275
contig-100_0_277,
contig-100_0_278,
contig-100_0_279,
contig-100_0_280,K01695
contig-100_0_281,K01696
contig-100_0_282,K13498
contig-100_0_283,K13497
contig-100_0_284,K01657
contig-100_0_285,K07053
contig-100_0_286,
contig-100_0_287,K06178
contig-100_0_288,K19221
contig-100_0_289,
contig-100_0_290,K04774
contig-100_0_291,
contig-100_0_292,K03168
contig-100_0_293,K13634
contig-100_0_294,
contig-100_0_295,
contig-100_0_296,K01681
contig-100_0_297,K01497
contig-100_0_298,K01096
contig-100_0_299,K08992
contig-100_0_300,K19804
contig-100_0_301,K01591
contig-100_0_302,K03113
contig-100_0_303,K04062
contig-100_0_304,
contig-100_0_305,
contig-100_0_306,K14051
contig-100_0_307,K01147
contig-100_0_308,
contig-100_0_309,K00208
contig-100_0_310,
contig-100_0_311,K19230
contig-100_0_312,K19229
contig-100_0_313,K19228
contig-100_0_314,K19227
contig-100_0_315,K19226
contig-100_0_316,
contig-100_0_317,
contig-100_0_318,K18555
contig-100_0_319,K03974
contig-100_0_320,K03969
contig-100_0_321,K03970
contig-100_0_322,K03973
contig-100_0_323,K03971
contig-100_0_324,K22597
contig-100_0_325,K02027
contig-100_0_326,K02025
contig-100_0_327,K02026
contig-100_0_328,
contig-100_0_329,
contig-100_0_330,
contig-100_0_331,K04844
contig-100_0_332,K01838
contig-100_0_333,K10112
contig-100_0_334,K14053
contig-100_0_335,
contig-100_0_336,K03972
contig-100_0_337,K06918
contig-100_0_338,K08990
contig-100_0_339,K03721
contig-100_0_340,K11065
contig-100_0_341,K19802
contig-100_0_342,K14054
contig-100_0_343,K15580
contig-100_0_344,
contig-100_0_345,
contig-100_0_346,K19000
contig-100_0_347,
contig-100_0_348,K01759
contig-100_0_349,K01607
contig-100_0_350,
contig-100_0_351,K13979
contig-100_0_352,K16052
contig-100_0_353,
contig-100_0_354,K14055
contig-100_0_355,K19272
contig-100_0_356,K01420
contig-100_0_357,K00567
contig-100_0_358,
contig-100_0_359,K21088
contig-100_0_360,K21023
contig-100_0_361,
contig-100_0_362,K16074
contig-100_0_363,
contig-100_0_364,K05591
contig-100_0_365,K14058
contig-100_0_366,
contig-100_0_367,
contig-100_0_368,K14061
contig-100_0_369,
contig-100_0_370,K14062
contig-100_0_371,K03737
contig-100_0_372,
contig-100_0_373,K03668
contig-100_0_374,K03778
contig-100_0_375,
contig-100_0_376,
contig-100_0_377,
contig-100_0_378,K09978
contig-100_0_379,
contig-100_0_380,K00981
contig-100_0_381,
contig-100_0_382,
contig-100_0_383,
contig-100_0_384,
contig-100_0_385,
contig-100_0_386,K01118
contig-100_0_387,K03578
contig-100_0_388,
contig-100_0_389,K07248
contig-100_0_390,
contig-100_0_391,K00134
contig-100_0_392,K12262
contig-100_0_393,
contig-100_0_394,K03503
contig-100_0_395,K03502
contig-100_0_396,K03286
contig-100_0_397,
contig-100_0_398,
contig-100_0_399,K23239
contig-100_0_400,K00121
contig-100_0_401,K05876
contig-100_0_402,
contig-100_0_403,K15986
contig-100_0_404,
contig-100_0_405,
contig-100_0_406,K09794
contig-100_0_407,K01775
contig-100_0_408,K03817
contig-100_0_409,
contig-100_0_410,K03304
contig-100_0_411,K16868
contig-100_0_412,
contig-100_0_413,
contig-100_0_414,K07506
contig-100_0_415,K05782
contig-100_0_416,K23779
contig-100_0_417,K08303
contig-100_0_418,
contig-100_0_419,
contig-100_0_420,K00426
contig-100_0_421,K00425
contig-100_0_422,
contig-100_0_423,K18843
contig-100_0_424,
contig-100_0_425,K02055
contig-100_0_426,K02052
contig-100_0_427,K02054
contig-100_0_428,K02053
contig-100_0_429,K00137
contig-100_0_430,
contig-100_0_431,
contig-100_0_432,
contig-100_0_433,
contig-100_0_434,
contig-100_0_435,
contig-100_0_436,K12368
contig-100_0_437,
contig-100_0_438,K09936
contig-100_0_439,K24217
contig-100_0_440,
contig-100_0_441,K23256
contig-100_0_442,
contig-100_0_443,
contig-100_0_444,K11738
contig-100_0_445,
contig-100_0_446,
contig-100_0_447,
contig-100_0_448,
contig-100_0_449,K02030
contig-100_0_450,
contig-100_0_451,K02029
contig-100_0_452,K02028
contig-100_0_453,
contig-100_0_454,K18900
contig-100_0_455,K11208
contig-100_0_456,K01821
contig-100_0_457,
contig-100_0_458,
contig-100_0_459,K00675
contig-100_0_460,
contig-100_0_461,K00374
contig-100_0_462,K00373
contig-100_0_463,K00371
contig-100_0_464,K00370
contig-100_0_465,K02575
contig-100_0_466,
contig-100_0_467,K08167
contig-100_0_468,
contig-100_0_469,
contig-100_0_470,
contig-100_0_471,K08348
contig-100_0_472,K08348
contig-100_0_473,K08349
contig-100_0_474,K08350
contig-100_0_475,K01507
contig-100_0_476,K21498
contig-100_0_477,K07334
contig-100_0_478,
contig-100_0_479,K00027
contig-100_0_480,K02972
contig-100_0_481,K04063
contig-100_0_482,K00019
contig-100_0_483,
contig-100_0_484,K00074
contig-100_0_485,K00626
contig-100_0_486,K01029
contig-100_0_487,K01028
contig-100_0_488,K17737
contig-100_0_489,K02032
contig-100_0_490,K02031
contig-100_0_491,K02034
contig-100_0_492,K02033
contig-100_0_493,K02035
contig-100_0_494,K08641
contig-100_0_495,
contig-100_0_496,K19778
contig-100_0_497,K03406
contig-100_0_498,
contig-100_0_499,K07154
contig-100_0_500,
contig-100_0_501,
contig-100_0_502,K12537
contig-100_0_503,K12536
contig-100_0_504,
contig-100_0_505,K06076
contig-100_0_506,
contig-100_0_507,
contig-100_0_508,
contig-100_0_509,
contig-100_0_510,
contig-100_0_511,
contig-100_0_512,
contig-100_0_513,
contig-100_0_514,
contig-100_0_515,K00598
contig-100_0_516,
contig-100_0_517,K08994
contig-100_0_518,K00041
contig-100_0_519,
contig-100_0_520,
contig-100_0_521,K01425
contig-100_0_522,K05874
contig-100_0_523,K08324
contig-100_0_524,
contig-100_0_525,K08159
contig-100_0_526,K05595
contig-100_0_527,K03712
contig-100_0_528,K13632
contig-100_0_529,K13630
contig-100_0_530,K15268
contig-100_0_531,
contig-100_0_532,K11963
contig-100_0_533,K11962
contig-100_0_534,K11961
contig-100_0_535,K11960
contig-100_0_536,K11959
contig-100_0_537,
contig-100_0_538,K13069
contig-100_0_539,
contig-100_0_540,K01284
contig-100_0_541,K16066
contig-100_0_542,K22293
contig-100_0_543,
contig-100_0_544,K00040
contig-100_0_545,
contig-100_0_546,K08323
contig-100_0_547,K09771
contig-100_0_548,
contig-100_0_549,K00657
contig-100_0_550,
contig-100_0_551,
contig-100_0_552,K07309
contig-100_0_553,K07307
contig-100_0_554,K07312
contig-100_0_555,K23349
contig-100_0_556,K03281
contig-100_0_557,K01935
contig-100_0_558,K15545
contig-100_0_559,
contig-100_0_560,K08224
contig-100_0_561,K07052
contig-100_0_562,
contig-100_0_563,K02483
contig-100_0_564,K07147
contig-100_0_565,K17247
contig-100_0_566,K01299
contig-100_0_567,
contig-100_0_568,K04775
contig-100_0_569,K11742
contig-100_0_570,K11743
contig-100_0_571,K11744
contig-100_0_572,K07552
contig-100_0_573,K06221
contig-100_0_574,K00325
contig-100_0_575,K00324
contig-100_0_576,
contig-100_0_577,K03758
contig-100_0_578,K13938
contig-100_0_579,
contig-100_0_580,K07661
contig-100_0_581,K06956
contig-100_0_582,K07241
contig-100_0_583,K04343
contig-100_0_584,
contig-100_0_585,
contig-100_0_586,
contig-100_0_587,K07639
contig-100_0_588,K10748
contig-100_0_589,K01679
contig-100_0_590,K01676
contig-100_0_591,K01809
contig-100_0_592,
contig-100_0_593,K16136
contig-100_0_594,K02791
contig-100_0_595,K14155
contig-100_0_596,
contig-100_0_597,
contig-100_0_598,K01488
contig-100_0_599,
contig-100_0_600,
contig-100_0_601,
contig-100_0_602,K03617
contig-100_0_603,K03616
contig-100_0_604,K03615
contig-100_0_605,K03614
contig-100_0_606,K03612
contig-100_0_607,K03613
contig-100_0_608,K10773
contig-100_0_609,K03305
contig-100_0_610,K00799
contig-100_0_611,K00868
contig-100_0_612,K01866
contig-100_0_613,K00275
contig-100_0_614,
contig-100_0_615,K09001
contig-100_0_616,K06077
contig-100_0_617,K06075
contig-100_0_618,
contig-100_0_619,
contig-100_0_620,
contig-100_0_621,K04565
contig-100_0_622,
contig-100_0_623,K06938
contig-100_0_624,K16137
contig-100_0_625,K10680
contig-100_0_626,K01759
contig-100_0_627,K03683
contig-100_0_628,K07390
contig-100_0_629,K19303
contig-100_0_630,K04564
contig-100_0_631,K19577
contig-100_0_632,
contig-100_0_633,K03604
contig-100_0_634,
contig-100_0_635,
contig-100_0_636,K00574
contig-100_0_637,K00793
contig-100_0_638,K03327
contig-100_0_639,K06177
contig-100_0_640,
contig-100_0_641,
contig-100_0_642,
contig-100_0_643,K22589
contig-100_0_644,
contig-100_0_645,
contig-100_0_646,
contig-100_0_647,
contig-100_0_648,
contig-100_0_649,
contig-100_0_650,
contig-100_0_651,
contig-100_0_652,
contig-100_0_653,K01867
contig-100_0_654,
contig-100_0_655,K00027
contig-100_0_656,K03326
contig-100_0_657,K01295
contig-100_0_658,
contig-100_0_659,
contig-100_0_660,K22479
contig-100_0_661,
contig-100_0_662,K00432
contig-100_0_663,K02020
contig-100_0_664,K02013
contig-100_0_665,K02015
contig-100_0_666,K02016
contig-100_0_667,K00823
contig-100_0_668,K00375
contig-100_0_669,K22474
contig-100_0_670,K00316
contig-100_0_671,
contig-100_0_672,K00130
contig-100_0_673,
contig-100_0_674,
contig-100_0_675,
contig-100_0_676,K13876
contig-100_0_677,K01687
contig-100_0_678,
contig-100_0_679,K01631
contig-100_0_680,K00883
contig-100_0_681,K19776
contig-100_0_682,
contig-100_0_683,
contig-100_0_684,K02030
contig-100_0_685,K02028
contig-100_0_686,K02029
contig-100_0_687,K02029
contig-100_0_688,
contig-100_0_689,K08354
contig-100_0_690,K04014
contig-100_0_691,
contig-100_0_692,
contig-100_0_693,
contig-100_0_694,K01675
contig-100_0_695,K13041
contig-100_0_696,K13040
contig-100_0_697,K08358
contig-100_0_698,K08359
contig-100_0_699,K08357
contig-100_0_700,K02073
contig-100_0_701,K02072
contig-100_0_702,K02071
contig-100_0_703,K00873
contig-100_0_704,K06078
contig-100_0_705,K19234
contig-100_0_706,K02426
contig-100_0_707,K11717
contig-100_0_708,K09015
contig-100_0_709,K09013
contig-100_0_710,K09014
contig-100_0_711,K05997
contig-100_0_712,
contig-100_0_713,
contig-100_0_714,
contig-100_0_715,K19222
contig-100_0_716,
contig-100_0_717,
contig-100_0_718,K07497
contig-100_0_719,K07497
contig-100_0_720,
contig-100_0_721,
contig-100_0_722,
contig-100_0_723,
contig-100_0_724,
contig-100_0_725,
contig-100_0_726,
contig-100_0_727,
contig-100_0_728,
contig-100_0_729,
contig-100_0_730,K05887
contig-100_0_731,K03785
contig-100_0_732,K19709
contig-100_0_733,
contig-100_0_734,
contig-100_0_735,K03521
contig-100_0_736,K03522
contig-100_0_737,K00313
contig-100_0_738,K03855
contig-100_0_739,K12507
contig-100_0_740,K01007
contig-100_0_741,K09773
contig-100_0_742,K01626
contig-100_0_743,
contig-100_0_744,K16087
contig-100_0_745,K07225
contig-100_0_746,K02016
contig-100_0_747,K02015
contig-100_0_748,K02013
contig-100_0_749,K08997
contig-100_0_750,
contig-100_0_751,K13695
contig-100_0_752,K06074
contig-100_0_753,K00432
contig-100_0_754,K06073
contig-100_0_755,K04764
contig-100_0_756,K01890
contig-100_0_757,K01889
contig-100_0_758,K02887
contig-100_0_759,K02916
contig-100_0_760,K02520
contig-100_0_761,K01868
contig-100_0_762,
contig-100_0_763,K07283
contig-100_0_764,K16370
contig-100_0_765,
contig-100_0_766,
contig-100_0_767,K24204
contig-100_0_768,K00065
contig-100_0_769,K07038
contig-100_0_770,K06956
contig-100_0_771,K03781
contig-100_0_772,K03478
contig-100_0_773,K01222
contig-100_0_774,K03490
contig-100_0_775,K02759
contig-100_0_776,K02761
contig-100_0_777,K02760
contig-100_0_778,K04064
contig-100_0_779,K01916
contig-100_0_780,K05984
contig-100_0_781,K09975
contig-100_0_782,K06006
contig-100_0_783,K05526
contig-100_0_784,K01484
contig-100_0_785,K06447
contig-100_0_786,K00673
contig-100_0_787,K00840
contig-100_0_788,K01142
contig-100_0_789,
contig-100_0_790,
contig-100_0_791,K05777
contig-100_0_792,K05778
contig-100_0_793,K05779
contig-100_0_794,K21028
contig-100_0_795,
contig-100_0_796,
contig-100_0_797,K08320
contig-100_0_798,
contig-100_0_799,K00262
contig-100_0_800,K03169
contig-100_0_801,K01008
contig-100_0_802,
contig-100_0_803,K04773
contig-100_0_804,
contig-100_0_805,
contig-100_0_806,K01424
contig-100_0_807,K08281
contig-100_0_808,K08369
contig-100_0_809,
contig-100_0_810,K18471
contig-100_0_811,
contig-100_0_812,
contig-100_0_813,K00008
contig-100_0_814,K08369
contig-100_0_815,
contig-100_0_816,K01183
contig-100_0_817,
contig-100_0_818,K09916
contig-100_0_819,K07305
contig-100_0_820,K00134
contig-100_0_821,K01792
contig-100_1_822,
contig-100_1_823,
contig-100_1_824,K13069
contig-100_1_825,K03329
contig-100_1_826,
contig-100_1_827,K02688
contig-100_1_828,K03417
contig-100_1_829,K01659
contig-100_1_830,K01720
contig-100_1_831,K01908
contig-100_1_832,K02532
contig-100_1_833,K01190
contig-100_1_834,
contig-100_1_835,
contig-100_1_836,
contig-100_1_837,
contig-100_1_838,
contig-100_1_839,
contig-100_1_840,
contig-100_1_841,
contig-100_1_842,
contig-100_1_843,K05818
contig-100_1_844,K05712
contig-100_1_845,K05713
contig-100_1_846,K05714
contig-100_1_847,K02554
contig-100_1_848,K04073
contig-100_1_849,K01666
contig-100_1_850,K05819
contig-100_1_851,
contig-100_1_852,K16235
contig-100_1_853,K00547
contig-100_1_854,K02010
contig-100_1_855,K02011
contig-100_1_856,K02012
contig-100_1_857,K20263
contig-100_1_858,K20264
contig-100_1_859,K15551
contig-100_1_860,K10831
contig-100_1_861,K15552
contig-100_1_862,K03119
contig-100_1_863,K01698
contig-100_1_864,
contig-100_1_865,
contig-100_1_866,
contig-100_1_867,K18988
contig-100_1_868,K17938
contig-100_1_869,
contig-100_1_870,
contig-100_1_871,
contig-100_1_872,K01921
contig-100_1_873,K08161
contig-100_1_874,
contig-100_1_875,K01077
contig-100_1_876,
contig-100_1_877,K18968
contig-100_1_878,K00286
contig-100_1_879,K09768
contig-100_1_880,K00891
contig-100_1_881,
contig-100_1_882,K14591
contig-100_1_883,K09913
contig-100_1_884,K03554
contig-100_1_885,K00847
contig-100_1_886,K08156
contig-100_1_887,K03546
contig-100_1_888,K03547
contig-100_1_889,K07657
contig-100_1_890,K07636
contig-100_1_891,K03311
contig-100_1_892,K11736
contig-100_1_893,K01187
contig-100_1_894,
contig-100_1_895,
contig-100_1_896,K09932
contig-100_1_897,
contig-100_1_898,K03386
contig-100_1_899,K08682
contig-100_1_900,K07568
contig-100_1_901,K00773
contig-100_1_902,K03210
contig-100_1_903,K03072
contig-100_1_904,K03074
contig-100_1_905,K06996
contig-100_1_906,
contig-100_1_907,K05517
contig-100_1_908,
contig-100_1_909,K07738
contig-100_1_910,K11752
contig-100_1_911,K00794
contig-100_1_912,K03625
contig-100_1_913,K00946
contig-100_1_914,K01095
contig-100_1_915,K23107
contig-100_1_916,K01662
contig-100_1_917,K00795
contig-100_1_918,K03602
contig-100_1_919,K03151
contig-100_1_920,
contig-100_1_921,K03152
contig-100_1_922,K00077
contig-100_1_923,K09767
contig-100_1_924,
contig-100_1_925,
contig-100_1_926,
contig-100_1_927,K02257
contig-100_1_928,K02300
contig-100_1_929,K02299
contig-100_1_930,K02298
contig-100_1_931,K02297
contig-100_1_932,K08218
contig-100_1_933,K07286
contig-100_1_934,K05527
contig-100_1_935,K03545
contig-100_1_936,K01358
contig-100_1_937,K03544
contig-100_1_938,K01338
contig-100_1_939,K03530
contig-100_1_940,
contig-100_1_941,K03770
contig-100_1_942,K02237
contig-100_1_943,K12500
contig-100_1_944,K06920
contig-100_1_945,
contig-100_1_946,K11938
contig-100_1_947,K01738
contig-100_1_948,K05800
contig-100_1_949,K18889
contig-100_1_950,K18890
contig-100_1_951,K04752
contig-100_1_952,K03320
contig-100_1_953,K10805
contig-100_1_954,K09914
contig-100_1_955,K07443
contig-100_1_956,
contig-100_1_957,
contig-100_1_958,
contig-100_1_959,
contig-100_1_960,
contig-100_1_961,
contig-100_1_962,K02909
contig-100_1_963,
contig-100_1_964,K00661
contig-100_1_965,K05839
contig-100_1_966,K19162
contig-100_1_967,K18138
contig-100_1_968,K03585
contig-100_1_969,K03577
contig-100_1_970,K05802
contig-100_1_971,
contig-100_1_972,K04067
contig-100_1_973,K09790
contig-100_1_974,K00759
contig-100_1_975,K02343
contig-100_1_976,K09747
contig-100_1_977,K06187
contig-100_1_978,K04079
contig-100_1_979,K00939
contig-100_1_980,K01772
contig-100_1_981,K01066
contig-100_1_982,K00892
contig-100_1_983,K03455
contig-100_1_984,K08223
contig-100_1_985,K11751
contig-100_1_986,K03976
contig-100_1_987,K09973
contig-100_1_988,K17686
contig-100_1_989,K19591
contig-100_1_990,
contig-100_1_991,
contig-100_1_992,K07340
contig-100_1_993,
contig-100_1_994,
contig-100_1_995,K02068
contig-100_1_996,K02069
contig-100_1_997,K05838
contig-100_1_998,
contig-100_1_999,K10804
contig-100_1_1000,K02003
contig-100_1_1001,K02004
contig-100_1_1002,
contig-100_1_1003,K02073
contig-100_1_1004,K02071
contig-100_1_1005,K02072
contig-100_1_1006,K06917
contig-100_1_1007,K01589
contig-100_1_1008,K01588
contig-100_1_1009,K03269
contig-100_1_1010,K03768
contig-100_1_1011,K01883
contig-100_1_1012,K07038
contig-100_1_1013,K14761
contig-100_1_1014,K01491
contig-100_1_1015,K07345
contig-100_1_1016,K07351
contig-100_1_1017,K07346
contig-100_1_1018,K07347
contig-100_1_1019,K07350
contig-100_1_1020,K07348
contig-100_1_1021,K07688
contig-100_1_1022,K08088
contig-100_1_1023,
contig-100_1_1024,
contig-100_1_1025,K07647
contig-100_1_1026,K11930
contig-100_1_1027,K07772
contig-100_1_1028,K03532
contig-100_1_1029,K07811
contig-100_1_1030,K03533
contig-100_1_1031,K14061
contig-100_1_1032,K07821
contig-100_1_1033,K07812
contig-100_1_1034,K06897
contig-100_1_1035,
contig-100_1_1036,
contig-100_1_1037,K07644
contig-100_1_1038,K07665
contig-100_1_1039,K07796
contig-100_1_1040,K07810
contig-100_1_1041,K07798
contig-100_1_1042,K07787
contig-100_1_1043,K21746
contig-100_1_1044,K21739
contig-100_1_1045,
contig-100_1_1046,K21741
contig-100_1_1047,
contig-100_1_1048,
contig-100_1_1049,
contig-100_1_1050,K19231
contig-100_1_1051,
contig-100_1_1052,
contig-100_1_1053,
contig-100_1_1054,K11732
contig-100_1_1055,
contig-100_1_1056,
contig-100_1_1057,
contig-100_1_1058,
contig-100_1_1059,K16053
contig-100_1_1060,K10679
contig-100_1_1061,
contig-100_1_1062,
contig-100_1_1063,
contig-100_1_1064,K18325
contig-100_1_1065,
contig-100_1_1066,K06048
contig-100_1_1067,
contig-100_1_1068,K02362
contig-100_1_1069,K19611
contig-100_1_1070,K07214
contig-100_1_1071,
contig-100_1_1072,K02364
contig-100_1_1073,
contig-100_1_1074,K23188
contig-100_1_1075,K23187
contig-100_1_1076,K23186
contig-100_1_1077,K08225
contig-100_1_1078,K23185
contig-100_1_1079,K02361
contig-100_1_1080,K02363
contig-100_1_1081,K01252
contig-100_1_1082,K00216
contig-100_1_1083,K24147
contig-100_1_1084,K06200
contig-100_1_1085,
contig-100_1_1086,K08317
contig-100_1_1087,K14287
contig-100_1_1088,
contig-100_1_1089,
contig-100_1_1090,
contig-100_1_1091,K03805
contig-100_1_1092,K24119
contig-100_1_1093,K03387
contig-100_1_1094,K11932
contig-100_1_1095,K06140
contig-100_1_1096,K00433
contig-100_1_1097,
contig-100_1_1098,K01169
contig-100_1_1099,K09477
contig-100_1_1100,K05966
contig-100_1_1101,K05964
contig-100_1_1102,K01643
contig-100_1_1103,K01644
contig-100_1_1104,K01646
contig-100_1_1105,K01910
contig-100_1_1106,K07700
contig-100_1_1107,K07702
contig-100_1_1108,K03326
contig-100_1_1109,K12973
contig-100_1_1110,K03704
contig-100_1_1111,K06199
contig-100_1_1112,K11206
contig-100_1_1113,K03425
contig-100_1_1114,K03644
contig-100_1_1115,K03801
contig-100_1_1116,K09158
contig-100_1_1117,K07258
contig-100_1_1118,K03642
contig-100_1_1119,K05837
contig-100_1_1120,K05515
contig-100_1_1121,K00783
contig-100_1_1122,K09710
contig-100_1_1123,K02226
contig-100_1_1124,K04720
contig-100_1_1125,K00969
contig-100_1_1126,K02340
contig-100_1_1127,K03643
contig-100_1_1128,K01869
contig-100_1_1129,
contig-100_1_1130,K01250
contig-100_1_1131,K10004
contig-100_1_1132,K10002
contig-100_1_1133,K10003
contig-100_1_1134,K10001
contig-100_1_1135,K03820
contig-100_1_1136,K06189
contig-100_1_1137,K07042
contig-100_1_1138,K06217
contig-100_1_1139,K06168
contig-100_1_1140,K03184
