locus,1042876.5_PID,1081940.5_PID,1150601.3_PID,1193146.3_PID,1193499.3_PID,1196325.3_PID,1211579.3_PID,1215087.7_PID,1215088.3_PID,1218169.3_PID,1240350.3_PID,1331671.3_PID,1399145.3_PID,1410521.3_PID,1410669.4_PID,1449986.3_PID,160488.4.RefSeq_PID,160488.4_PID,231023.4_PID,303.139_PID,303.140_PID,303.142_PID,303.167_PID,303.169_PID,303.170_PID,303.171_PID,303.172_PID,303.175_PID,303.176_PID,303.177_PID,303.178_PID,303.179_PID,303.180_PID,303.187_PID,303.188_PID,303.189_PID,303.192_PID,303.199_PID,303.200_PID,303.203_PID,303.204_PID,303.209_PID,303.212_PID,303.214_PID,303.215_PID,303.234_PID,303.237_PID,303.397_PID,303.398_PID,303.409_PID,303.410_PID,303.411_PID,303.424_PID,303.425_PID,303.426_PID,303.427_PID,303.429_PID,303.430_PID,303.431_PID,303.432_PID,303.447_PID,303.449_PID,303.450_PID,303.451_PID,303.452_PID,303.453_PID,303.473_PID,303.486_PID,303.487_PID,303.488_PID,303.489_PID,303.490_PID,303.491_PID,303.492_PID,303.493_PID,303.529_PID,303.531_PID,303.532_PID,303.533_PID,303.534_PID,303.535_PID,351746.6_PID,390235.5_PID,76869.5_PID,931281.3_PID,KT2440.csv_PID
PP_0011,99.728,100,100,100,100,100,99.728,100,99.455,99.728,96.73,99.455,97.82,99.728,99.455,99.728,100,100,100,100,94.55,100,99.728,99.455,92.371,97.82,92.098,100,100,99.728,99.455,99.455,100,92.371,86.921,96.73,96.73,99.728,96.458,95.64,98.638,96.458,96.458,96.458,96.458,99.455,91.826,98.91,92.916,92.098,99.183,100,99.728,99.728,96.73,100,99.455,99.728,99.728,100,99.455,100,92.098,98.638,98.91,96.185,99.728,99.728,96.73,99.728,99.728,99.728,99.455,99.455,100,99.455,97.82,100,98.638,99.728,97.82,100,97.82,98.91,100,100
PP_0012,98.615,99.723,99.728,100,99.723,100,98.061,99.728,98.615,98.638,94.737,98.338,94.005,98.365,98.338,97.784,100,100,99.728,99.723,91.877,99.723,98.638,98.093,90.736,97.275,89.918,100,99.728,100,98.638,99.728,100,90.463,84.807,93.188,93.188,97.82,92.916,89.646,98.91,92.916,92.916,92.916,92.916,98.638,89.373,98.638,89.058,89.918,97.82,99.728,100,98.093,95.368,100,98.093,100,100,100,98.365,100,89.373,97.548,97.548,94.823,99.728,100,94.823,100,100,100,98.093,98.093,100,98.093,97.548,99.728,98.91,98.093,97.548,99.723,97.507,98.615,99.728,100
PP_0013,98.759,100,100,100,99.876,100,98.635,100,98.511,,96.898,99.007,96.898,99.007,99.007,98.387,100,100,99.876,100,93.797,100,98.759,98.635,92.804,97.643,89.95,100,100,99.504,98.511,97.891,100,93.176,85.112,95.285,95.409,98.635,96.402,91.935,96.65,96.65,96.65,96.65,96.65,98.759,90.323,98.759,89.702,90.074,97.395,100,99.504,98.635,96.65,100,98.387,100,100,100,99.007,100,90.199,97.767,97.767,96.526,100,100,94.789,99.504,99.504,99.628,96.526,96.526,100,98.635,97.643,100,96.526,98.635,97.519,100,97.519,98.759,100,100
PP_0014,,,99.847,,,,99.851,99.847,99.702,,,,,,,,100,100,,99.842,,,,,,,,100,,99.847,99.847,,100,,,,,99.847,,,99.847,,,,,,,99.847,,,,,,97.239,,100,100,99.847,99.847,,,,,,100,99.847,99.847,100,,,,,100,100,,99.847,,,,100,,99.852,99.702,99.852,,100
PP_0015,,,100,,,,99.615,100,99.615,,,,,,,,100,,,99.615,,,,,,,,100,,100,100,100,100,,,,,100,,,100,,,,,,,100,,,,,,97.806,,100,100,100,100,,,,,,100,100,100,100,,,,,100,100,,100,,,,100,,100,100,100,,100
PP_0016,,,100,,,,100,100,100,,,,,,,,100,100,,100,,,,,,,,100,,100,100,100,100,,,,,100,,,100,,,,,,,100,,,,,,89.969,,100,100,100,100,,,,,,100,100,100,100,,,,,100,100,,100,,,,100,,100,100,100,,100
PP_0017,,84.874,100,84.874,,84.874,100,100,100,,,63.333,,73.333,63.333,,100,100,84.874,100,,,69.167,,,84.874,,100,64.167,100,71.901,100,100,,,,,100,,,100,,,,,,,100,,,,,,88.136,,100,100,100,100,,65,,,,100,100,100,100,,72.269,,65,100,100,,100,,,84.874,100,,100,100,100,71.774,100
PP_0018,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,,,,100,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,100,,,100,,,,,100,100,,,,,,100,,,,,,100
PP_0019,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,100,,,100,,,,,100,100,,,,,,,,,,,,100
PP_0020,,,,,,,,,,,,,,,,,100,,,,,,,,,,,99.617,,,,,99.617,,,,,,,,,,,,,,,,,,,,,,,99.617,99.617,,,,,,,,99.617,,,100,,,,,99.617,99.617,,,,,,99.617,,,,,,100
PP_0021,,88.742,99.023,,,88.742,100,99.023,,,,,,,,,100,100,88.742,99.023,,,,,,,,100,,,,98.371,100,,,,,99.023,,,99.023,,,,,,,,,,,,,92.739,,100,99.667,99.023,99.023,,,,,,100,99.023,99.023,100,,,,,,100,,99.023,,,88.742,100,,,,99.023,,100
PP_0022,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
PP_0023,,,100,,,,100,100,,,,,,,,,100,100,,100,,,,,,100,,100,,100,100,100,100,,,,,100,64.286,,100,97.619,64.286,97.619,97.619,,,100,,,,,,,,100,100,100,100,,100,,,100,100,100,100,100,,100,100,100,,,,100,,,100,100,,100,100,100,,100
PP_0024,90.019,94.159,100,94.159,,93.982,100,100,100,,,98.584,,,98.584,,100,100,94.159,100,,,,88.142,83.124,94.159,,100,,100,100,100,100,,,,,100,,,100,,,,,,,100,,,,,,88.142,,100,100,100,100,,98.584,,,98.761,100,,100,99.806,88.142,98.584,98.584,98.584,100,100,,100,,,94.159,100,,100,100,100,,100
PP_0025,,,,,,,,100,,,,,,,,,100,,,,,,,,,,,100,,100,100,100,100,,,,,100,,,100,,,,,,,100,,,,,,,,100,,100,100,,96,,,,100,100,100,,,,96,,100,100,,100,,,,100,,,,,,100
PP_0026,96.346,99.003,100,99.003,99.003,99.003,100,100,100,,,99.336,,,99.336,,100,100,99.003,100,,,,95.017,93.688,99.003,65.306,100,,100,100,99.668,100,,,,,100,,,99.668,,,,,,,100,63.605,,,,,95.017,,100,100,100,100,,99.336,,,99.336,100,100,99.668,100,95.017,99.336,99.336,99.336,100,100,,100,,,99.003,100,,100,100,100,,100
PP_0027,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.315,100,,100
PP_0028,,,97.222,,,,,97.222,,,,,,,,,100,,,,,,,76.852,72.222,,,100,,97.222,97.222,97.222,100,,,,,97.222,,,97.222,,,,,,,97.222,,,,,,76.852,,100,100,97.222,97.222,,94.444,,,94.444,100,100,97.222,100,76.852,94.444,95.37,94.444,100,100,,97.222,,,95.37,100,,,,97.222,,100
PP_0029,99.107,100,100,100,99.087,100,,100,99.554,,,99.107,,,99.107,,100,100,99.543,99.543,,,100,99.107,95.536,100,,100,,99.554,100,100,100,,,,,100,,,100,,,,,,,99.554,,,,,,99.107,,100,100,100,100,,99.107,,,99.554,100,100,100,100,99.107,99.107,,,100,100,,100,,,100,100,,,,,,100
PP_0030,93.22,98.941,99.788,99.134,98.941,98.941,100,99.788,99.788,,,89.407,,,89.407,,100,100,98.941,99.788,,,98.305,94.492,89.831,98.941,,100,,99.788,99.788,99.788,100,,,,,99.788,,,99.788,,,,,,,99.788,,,,,,94.492,,100,100,99.788,99.788,,89.407,,,89.619,100,100,99.788,100,94.492,89.407,98.305,98.305,100,100,,99.788,,,98.941,100,,99.788,99.788,99.788,,100
PP_0031,88.718,99.487,100,99.487,99.487,99.487,100,100,99.487,,,99.487,,,99.487,,100,,,100,,,95.385,85.128,82.99,99.487,,100,,100,100,100,100,,,,,100,,,100,,,,,,,100,,,,,,85.128,,100,100,100,100,,99.487,,,99.487,100,100,100,100,85.128,99.487,99.487,99.487,100,100,,100,,,99.487,100,,,100,,,100
PP_0032,93.151,98.63,100,98.63,98.63,98.63,100,100,100,,,98.63,,,98.63,,100,100,98.63,100,,,,94.521,76.712,98.63,,100,,100,100,100,100,,,,,100,,,100,,,,,,,100,,,,,,94.521,,100,100,100,100,,98.63,,,98.63,100,100,100,100,94.521,98.63,98.63,98.63,100,100,,100,,,98.63,100,,100,100,100,,100
PP_0033,,97.107,100,97.107,97.107,97.107,100,100,100,,,98.967,,,97.521,,100,100,97.107,100,,,98.468,85.537,84.504,97.107,,100,,100,100,99.793,100,,,,,100,,,100,,,,,,,100,,,,,,85.537,,100,100,100,100,,98.967,,,98.967,100,100,100,100,85.537,98.967,98.967,98.967,100,100,,100,,,97.107,100,,100,100,100,,100
PP_0034,,98.165,100,98.471,98.471,98.471,100,100,100,,,99.083,,,97.554,,100,99.677,98.471,100,,,100,91.437,85.933,98.471,,100,,100,100,100,100,,,,,100,,,100,,,,,,,100,,,,,,91.437,,100,100,100,100,,99.083,,,99.083,100,100,100,100,91.437,99.083,99.083,99.083,100,100,,100,,,98.471,100,,100,99.677,100,,100
PP_0035,,,,,,,,100,,,,,,,,,100,100,,,,,,,,,,100,,100,,,100,,,,,,,,,,,,,,,,,,,,,83.453,,100,100,100,100,,94.245,,,94.245,100,,100,100,83.453,94.245,94.245,94.245,,,,,,,,,,100,100,100,,100
PP_0036,,,99.689,95.71,95.437,96.04,99.67,99.689,99.689,,,94.72,,,94.72,,100,,,99.67,,,99.67,90.062,76.875,,,100,,99.67,99.689,99.689,100,,,,,99.689,,,99.689,,,,,,,99.689,,,,,,90.062,,100,100,99.689,99.689,,94.72,,,95.342,100,100,99.689,100,90.373,94.737,94.72,94.41,100,100,,99.689,,,95.963,99.67,,99.62,99.67,99.67,,100
PP_0037,,99.068,100,99.068,99.068,99.068,100,99.767,100,,,96.037,,,96.037,,100,100,99.068,100,60.046,,100,93.24,90.676,99.068,,100,,100,100,100,100,60.97,73.536,,,100,,61.201,100,,,,,,,100,,,,,,93.24,,100,100,99.767,99.767,,96.037,,,100,100,100,100,100,93.24,96.037,96.037,96.037,100,100,,100,,,99.068,100,,100,100,100,,100
PP_0038,,,100,,,,,,100,,,,,,,,100,100,,,,,100,,,,,,,100,100,,,,,,,,,,100,,,,,,,,,,,,,,,,,100,,,,,,,,,100,100,,,,,,100,,100,,,,,,100,100,100,,100
PP_0039,,84.211,99.707,84.211,,84.211,99.707,83.333,,,,84.211,,,84.211,,100,100,,99.707,,,99.707,,,84.211,,100,,99.707,99.707,99.707,100,,,,,99.707,,,99.707,,,,,,,99.707,,,,,,,,100,100,99.707,99.707,,84.211,,,94.135,100,99.707,99.707,100,,84.211,84.211,84.211,99.707,99.707,,99.707,,,84.211,99.707,,99.707,99.707,99.707,,100
PP_0040,,,100,94.595,,94.595,,95.946,100,,,95.946,,,95.946,,100,100,,,,,100,,,94.595,,100,,100,100,100,100,,,,,100,,,100,,,,,,,100,,,,,,,,100,100,100,100,,95.946,,,95.946,100,100,100,100,,95.946,95.946,95.946,100,100,,100,,,94.595,100,,100,100,100,,100
PP_0041,,98.045,100,97.895,98.045,98.045,99.85,99.248,100,,,96.541,,,96.541,,100,100,98.045,100,,,100,92.609,88.571,98.195,,100,,100,100,100,100,,,,,100,,,100,,,,,,,100,,,,,,92.609,,100,100,100,100,,96.541,,,95.94,100,100,100,100,92.609,96.541,96.541,96.541,99.85,99.85,,100,,,98.045,99.85,,100,100,100,,100
PP_0042,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
PP_0043,96.296,99.62,100,99.62,99.62,99.62,100,100,100,,,99.335,,,,,100,100,99.62,100,,,100,98.291,96.771,99.62,83.846,100,,100,99.905,100,100,,78.044,,,100,,88.038,100,,,,,,,100,,,,,,98.291,,100,100,100,100,,99.335,,,98.481,100,100,100,100,98.291,99.335,99.335,99.335,100,100,,100,,,99.62,100,,100,100,99.905,,100
PP_0044,89.671,99.279,99.76,99.279,99.279,99.279,100,100,100,,,99.038,,,99.038,,100,100,99.279,100,,,100,94.471,93.269,99.279,,100,,100,100,99.76,100,,,,,99.76,,73.077,99.76,,,,,,,100,66.467,,,,,94.471,,100,100,98.575,98.575,,99.038,,,99.038,100,100,99.76,99.76,94.471,99.038,99.038,99.038,100,100,,99.76,,,99.279,100,,100,100,99.76,,100
PP_0045,,98.223,100,98.223,97.872,98.223,100,100,100,,,98.818,,,99.2,,100,100,97.872,,,,100,94.09,92.533,97.872,61.436,100,,100,100,100,100,,,,,100,,,100,,,,,,,100,,,,,,94.09,,100,100,100,100,,98.818,,,97.163,100,100,100,100,94.09,98.818,98.818,98.818,100,100,,100,,,97.97,100,,100,100,100,,100
PP_0046,95.526,100,100,100,100,100,100,100,100,,,99.105,,,99.105,,100,100,100,100,,,100,97.092,95.973,99.776,,100,,100,100,100,100,,,,,100,,,100,,,,,,,100,,,,,,97.092,,100,100,100,100,,99.105,,,99.553,100,100,100,100,97.092,99.105,99.105,99.105,100,100,,100,,,99.776,100,,100,100,100,,100
PP_0047,99.107,99.462,100,99.462,99.462,99.462,99.462,100,99.462,,,99.462,,,100,,100,99.462,99.462,99.462,,,100,99.554,95.982,100,,100,,100,100,100,100,,,,,100,,,100,,,,,,,100,,,,,,99.554,,100,100,100,100,,100,,,100,100,,100,100,99.554,100,100,100,100,100,,100,,,100,100,,100,100,100,,100
PP_0048,,,100,,,,,100,,,,,,,,,100,100,,,,,100,,,81.308,,100,,100,100,100,100,,,,,100,,,100,,,,,,,100,,,,,,,,100,100,100,100,,98.131,,,80.412,100,100,100,100,,98.131,98.131,,100,100,,100,,,81.308,100,,100,100,100,,100
PP_0049,,,99.59,,,,99.795,99.385,,,,97.387,,,97.561,,100,100,,99.59,,,,,,,,100,,,98.77,99.385,100,,,,,,,,99.59,,,,,,,,,,,,,,,100,99.795,100,100,,97.561,,,,99.795,,99.59,99.795,,,,,99.795,99.795,,99.59,,,,99.795,,99.59,98.77,99.59,,100
PP_0050,,97.778,98.519,,98.519,,,98.519,94.074,93.023,,,,91.111,,,100,,,98.519,,97.778,,94.815,,71.631,,100,98.519,88.148,94.074,90.37,100,,,,,91.852,,,88.889,,,,,95.556,,93.333,,,75.735,98.519,,94.815,,100,91.111,98.519,98.519,97.778,91.111,98.519,,81.429,80.714,,98.519,98.519,,88.148,88.148,88.889,75.556,75.556,98.519,94.815,71.631,98.519,88.889,94.815,71.631,,70.922,,,100
PP_0051,93.953,99.767,99.07,99.767,99.767,99.767,94.419,99.07,93.571,,86.543,93.287,81.395,94.186,93.287,94.419,100,100,99.767,99.767,82.185,99.767,93.953,94.884,77.049,,67.139,100,98.837,98.372,93.721,93.488,100,77.049,,84.112,84.579,94.651,85.142,,92.541,85.377,85.377,85.377,85.377,94.884,,94.884,,67.139,90.531,99.07,98.372,94.419,84.382,100,93.953,99.535,99.535,99.767,93.287,99.767,,89.607,89.376,84.742,99.767,99.767,85.012,98.372,98.372,97.907,91.375,91.375,99.07,94.419,89.838,99.07,92.541,94.419,90.531,99.509,89.855,94.884,99.07,100
PP_0052,93.878,99.32,99.66,99.32,99.32,99.32,97.959,99.66,93.878,80.339,84.014,95.918,82.993,94.218,95.918,97.279,100,100,99.32,99.32,77.891,99.32,93.878,96.939,76.19,88.435,68.182,100,100,100,94.218,92.177,100,76.19,63.158,85.034,86.395,96.599,86.986,75.51,93.197,86.644,86.644,86.644,86.644,98.299,,98.299,,68.531,91.497,100,100,97.619,84.014,100,96.599,99.32,99.32,99.32,95.918,99.32,,89.116,89.796,83.333,99.32,99.32,80.952,100,100,100,92.177,92.177,99.32,97.619,88.435,99.66,93.537,97.959,88.435,99.32,88.095,98.299,100,100
PP_0053,94.799,98.815,99.763,98.815,98.815,98.815,94.787,99.763,93.617,,87.324,95.261,78.502,93.381,95.261,95.498,100,100,98.815,98.815,82.033,98.578,94.799,95.261,81.01,87.707,,100,99.763,97.867,93.617,93.853,100,81.01,,86.854,86.385,95.024,85.511,,92.199,84.798,84.798,84.798,84.798,95.735,,95.735,,,88.969,99.763,97.867,95.024,87.559,100,95.735,99.052,99.052,98.815,95.024,98.815,,88.967,88.732,85.915,99.526,99.052,81.579,97.867,97.867,98.104,88.249,88.249,99.763,95.261,88.278,99.763,92.199,94.787,88.278,98.815,87.56,95.735,99.763,100
PP_0054,96.063,98.162,98.529,97.794,98.162,,95.367,98.529,94.755,,86.822,95.753,79.528,94.118,95.753,95.669,100,99.632,98.162,98.162,80.741,97.426,96.063,94.853,78.519,91.892,,99.632,98.529,96.063,95.588,95.753,99.632,78.519,,86.765,86.397,94.981,84.926,,92.913,86.047,86.047,86.047,86.047,96.691,,96.691,,,89.844,98.529,96.063,95.367,86.047,99.632,96.139,97.059,97.059,98.529,95.753,97.059,,92.913,92.913,86.716,97.059,97.059,81.343,96.063,96.063,96.063,88.971,88.971,98.162,95.367,92.578,98.529,93.307,95.367,91.797,98.162,92.278,96.691,98.529,100
PP_0055,97.966,98.644,99.322,98.983,98.983,98.983,96.271,99.322,97.627,,96.61,96.271,95.238,97.627,96.271,96.61,100,100,98.983,98.983,93.22,98.983,97.966,96.949,92.881,95.932,82.993,100,98.983,98.983,97.627,97.288,100,93.22,73.129,95.254,95.254,96.61,93.559,92.881,96.61,93.22,93.22,93.22,93.22,97.627,82.373,97.627,,82.993,95.593,98.983,98.983,96.271,95.932,100,96.939,98.983,98.983,98.644,96.61,98.983,83.959,96.271,96.61,95.932,98.983,98.983,94.237,98.983,98.983,98.983,95.932,95.932,98.983,96.271,95.932,99.322,96.61,96.271,95.932,98.983,95.593,97.627,99.322,100
PP_0056,95.34,99.088,99.088,99.088,99.088,98.723,95.62,98.723,95.34,,89.599,95.985,90.328,95.62,95.985,96.35,100,99.806,99.088,98.905,83.607,99.27,95.62,95.985,81.603,93.796,79.026,100,99.27,98.54,95.985,96.35,100,81.421,73.111,90.164,89.8,96.168,88.707,81.614,95.073,88.889,88.889,88.889,88.889,96.898,78.716,96.533,,78.839,95.803,,98.54,95.62,88.16,100,96.168,98.723,98.723,99.088,95.803,98.905,79.55,93.248,93.066,89.599,98.905,99.27,89.982,98.54,98.54,98.358,94.708,94.708,99.27,95.985,93.796,98.905,94.526,95.62,93.796,98.835,93.657,95.922,98.905,100
PP_0057,97.774,99.814,99.443,99.629,99.814,100,96.846,99.072,97.588,,94.259,97.217,95.918,97.032,97.217,97.217,100,100,99.814,99.814,93.519,99.814,97.588,96.66,92.037,97.217,79.963,100,99.629,98.887,97.217,98.516,100,92.037,77.365,96.66,96.475,96.846,95.547,91.481,97.403,95.362,95.362,95.362,95.362,98.33,80.705,98.516,,79.777,97.959,99.814,98.887,96.846,94.074,100,97.217,99.814,99.814,99.814,97.217,99.814,80.334,97.774,98.145,93.519,99.814,99.814,94.063,98.887,98.887,98.701,97.403,97.403,99.814,96.846,97.217,99.629,97.403,96.846,97.403,99.814,97.403,98.516,99.443,100
PP_0058,98.828,98.828,99.617,100,100,100,95.703,99.617,98.828,98.319,88.583,96.875,91.339,98.467,96.875,96.094,100,100,100,100,82.031,100,98.851,95.703,84.677,90.234,81.275,100,99.617,98.851,98.851,97.701,100,84.677,64.683,91.016,91.016,95.785,91.406,84.677,98.467,91.406,91.406,91.406,91.406,99.219,81.452,99.234,84.274,81.275,96.875,99.617,98.851,95.785,88.672,100,96.169,100,100,100,96.935,100,82.258,96.094,96.094,88.281,100,100,84,98.851,98.851,99.234,95.703,95.703,100,95.703,90.234,99.617,98.084,95.785,90.234,100,90.234,99.219,99.609,100
PP_0059,97.143,100,100,100,100,100,94.857,100,97.714,,90.857,93.714,88,96.571,93.714,94.857,100,100,100,100,86.286,100,97.143,94.857,84,91.429,82.857,100,100,100,97.714,97.143,100,84,79.885,90.909,90.303,95.429,87.879,84,98.286,89.091,89.091,89.091,89.091,98.286,82.857,98.286,78.857,82.857,96.571,100,100,94.857,92.571,100,96.571,100,100,99.429,94.286,100,82.857,93.333,93.333,89.091,100,100,84,100,100,100,96,96,100,94.857,91.429,100,98.286,94.857,91.429,100,92,98.286,99.429,100
