contig-100_0_0,K11891
contig-100_0_166,K02775
contig-100_0_167,K00058
contig-100_0_168,K00059
contig-100_0_169,K00880
contig-100_0_170,K02443
contig-100_0_171,K11645
contig-100_0_172,K21964
contig-100_0_173,K21965
contig-100_0_174,K21966
contig-100_0_175,K21967
contig-100_0_176,K21968
contig-100_0_177,
contig-100_0_178,K00847
contig-100_0_179,
contig-100_0_180,K10440
contig-100_0_181,K10441
contig-100_0_182,K10439
contig-100_0_183,K02529
contig-100_0_184,
contig-100_0_185,
contig-100_0_186,
contig-100_0_187,K09702
contig-100_0_188,
contig-100_0_189,K01695
contig-100_0_190,K01696
contig-100_0_191,
contig-100_0_192,K11746
contig-100_0_193,K01607
contig-100_0_194,
contig-100_0_195,K00433
contig-100_0_196,K09794
contig-100_0_197,K00077
contig-100_0_198,
contig-100_0_199,K23149
contig-100_0_200,K01470
contig-100_0_201,K02821
contig-100_0_202,K02822
contig-100_0_203,K03475
contig-100_0_204,
contig-100_0_205,K03710
contig-100_0_206,
contig-100_0_207,
contig-100_0_208,K00133
contig-100_0_209,
contig-100_0_210,K01265
contig-100_0_211,
contig-100_0_212,
contig-100_0_213,
contig-100_0_214,K12518
contig-100_0_215,K12519
contig-100_0_216,
contig-100_0_217,
contig-100_0_218,K12519
contig-100_0_219,
contig-100_0_220,
contig-100_0_221,
contig-100_0_222,
contig-100_0_223,
contig-100_0_224,
contig-100_0_225,
contig-100_0_226,
contig-100_0_227,
contig-100_0_228,K01439
contig-100_0_229,
contig-100_0_230,
contig-100_0_231,K01104
contig-100_0_232,K02796
contig-100_0_233,K02795
contig-100_0_234,
contig-100_0_235,K02793
contig-100_0_236,
contig-100_0_237,K09962
contig-100_0_238,K15721
contig-100_0_239,K04783
contig-100_0_240,K05374
contig-100_0_241,K04785
contig-100_0_242,K04786
contig-100_0_243,K04784
contig-100_0_244,K05372
contig-100_0_245,K06147
contig-100_0_246,K06147
contig-100_0_247,K05373
contig-100_0_248,K04781
contig-100_0_249,K11382
contig-100_0_250,K08478
contig-100_0_251,K08475
contig-100_0_252,K08476
contig-100_0_253,K03837
contig-100_0_254,K01752
contig-100_0_255,
contig-100_0_256,
contig-100_0_257,
contig-100_0_258,
contig-100_0_259,
contig-100_0_260,
contig-100_0_261,K01214
contig-100_0_262,K06044
contig-100_0_263,K01236
contig-100_0_264,
contig-100_0_265,
contig-100_0_266,
contig-100_0_267,
contig-100_0_268,
contig-100_0_269,
contig-100_0_270,K00350
contig-100_0_271,
contig-100_0_272,
contig-100_0_273,
contig-100_0_274,
contig-100_0_275,K18138
contig-100_0_276,K18301
contig-100_0_277,
contig-100_0_278,
contig-100_0_279,K02650
contig-100_0_280,
contig-100_0_281,K02529
contig-100_0_282,K03335
contig-100_0_283,
contig-100_0_284,K03707
contig-100_0_285,K15600
contig-100_0_286,K15599
contig-100_0_287,K15598
contig-100_0_288,K00836
contig-100_0_289,K13745
contig-100_0_290,K07124
contig-100_0_291,K16137
contig-100_0_292,K01951
contig-100_0_293,K05515
contig-100_0_294,
contig-100_0_295,
contig-100_0_296,K09936
contig-100_0_297,K09936
contig-100_0_298,
contig-100_0_299,K03782
contig-100_0_300,
contig-100_0_301,K01531
contig-100_0_302,K07507
contig-100_0_303,
contig-100_0_304,K08369
contig-100_0_305,
contig-100_0_306,
contig-100_0_307,
contig-100_0_308,
contig-100_0_309,
contig-100_0_310,
contig-100_0_311,K08994
contig-100_0_312,
contig-100_0_313,
contig-100_0_314,K04063
contig-100_0_315,
contig-100_0_316,
contig-100_0_317,
contig-100_0_318,
contig-100_0_319,K00027
contig-100_0_320,K07660
contig-100_0_321,
contig-100_0_322,
contig-100_0_323,K01507
contig-100_0_324,K13953
contig-100_0_325,K02035
contig-100_0_326,K02033
contig-100_0_327,K02034
contig-100_0_328,K02031
contig-100_0_328,K02032
contig-100_0_329,
contig-100_0_330,
contig-100_0_331,K08156
contig-100_0_332,
contig-100_0_333,
contig-100_0_334,K08350
contig-100_0_335,K08349
contig-100_0_336,K08348
contig-100_0_337,K08348
contig-100_0_338,
contig-100_0_339,K05783
contig-100_0_340,K05784
contig-100_0_341,K05550
contig-100_0_342,K05549
contig-100_0_343,K03381
contig-100_0_344,K03464
contig-100_0_345,K01856
contig-100_0_346,K02624
contig-100_0_347,K08167
contig-100_0_348,
contig-100_0_349,K02575
contig-100_0_350,K00370
contig-100_0_351,K00371
contig-100_0_352,K00373
contig-100_0_353,K00374
contig-100_0_354,K00675
contig-100_0_355,K02011
contig-100_0_356,K02012
contig-100_0_357,K02010
contig-100_0_358,
contig-100_0_359,K02855
contig-100_0_360,
contig-100_0_361,K03292
contig-100_0_362,K16077
contig-100_0_363,
contig-100_0_364,K07726
contig-100_0_365,
contig-100_0_366,K01821
contig-100_0_367,K11208
contig-100_0_368,K06145
contig-100_0_369,K20023
contig-100_0_370,K03535
contig-100_0_371,K02030
contig-100_0_372,K02028
contig-100_0_373,K02029
contig-100_0_374,
contig-100_0_375,K02030
contig-100_0_376,
contig-100_0_377,
contig-100_0_378,
contig-100_1_379,
contig-100_1_380,K08276
contig-100_1_381,K00116
contig-100_1_382,K03321
contig-100_1_383,K06213
contig-100_1_384,K06159
contig-100_1_385,K03919
contig-100_1_386,K10778
contig-100_1_387,K03734
contig-100_1_388,K09475
contig-100_1_389,K07676
contig-100_1_390,K07687
contig-100_1_391,K07677
contig-100_1_392,K02469
contig-100_1_393,K00568
contig-100_1_394,K00525
contig-100_1_395,K00526
contig-100_1_396,K11107
contig-100_1_397,K01126
contig-100_1_398,K02445
contig-100_1_399,K00111
contig-100_1_400,K00112
contig-100_1_401,K00113
contig-100_1_402,K12660
contig-100_1_403,
contig-100_1_404,K12661
contig-100_1_405,
contig-100_1_406,
contig-100_1_407,
contig-100_1_408,K03781
contig-100_1_409,
contig-100_1_410,
contig-100_1_411,K12944
contig-100_1_412,K07649
contig-100_1_413,K07774
contig-100_1_414,K07795
contig-100_1_415,K07794
contig-100_1_416,K07793
contig-100_1_417,K08984
contig-100_1_418,K01911
contig-100_1_419,K02549
contig-100_1_420,K01661
contig-100_1_421,K08680
contig-100_1_422,K02551
contig-100_1_423,K02552
contig-100_1_424,K02348
contig-100_1_425,K00784
contig-100_1_426,K07357
contig-100_1_427,
contig-100_1_428,
contig-100_1_429,K07347
contig-100_1_430,
contig-100_1_431,
contig-100_1_432,K07357
contig-100_1_433,K00343
contig-100_1_434,K00342
contig-100_1_435,K00341
contig-100_1_436,K00340
contig-100_1_437,K00339
contig-100_1_438,K00338
contig-100_1_439,K00337
contig-100_1_440,K00336
contig-100_1_441,K00335
contig-100_1_442,K00334
contig-100_1_443,K13378
contig-100_1_444,K00331
contig-100_1_445,K00330
contig-100_1_446,
contig-100_1_447,K14260
contig-100_1_448,K08722
contig-100_1_449,
contig-100_1_450,K19270
contig-100_1_451,K09161
contig-100_1_452,K09899
contig-100_1_453,K00925
contig-100_1_454,K13788
contig-100_1_455,K00615
contig-100_1_456,K00615
contig-100_1_457,K03475
contig-100_1_458,K02822
contig-100_1_459,K02821
contig-100_1_460,
contig-100_1_461,
contig-100_1_462,K07095
contig-100_1_463,K00799
contig-100_1_464,K11209
contig-100_1_465,K07589
contig-100_1_466,K07071
contig-100_1_467,
contig-100_1_468,
contig-100_1_469,K03790
contig-100_1_470,K10017
contig-100_1_471,K10015
contig-100_1_472,K10016
contig-100_1_473,K10014
contig-100_1_474,K10013
contig-100_1_475,K03186
contig-100_1_476,
contig-100_1_477,K00847
contig-100_1_478,K03292
contig-100_1_479,K09955
contig-100_1_480,K00764
contig-100_1_481,K03558
contig-100_1_482,K03749
contig-100_1_483,K11754
contig-100_1_484,K01963
contig-100_1_485,K03975
contig-100_1_486,K06173
contig-100_1_487,
contig-100_1_488,K03473
contig-100_1_489,
contig-100_1_490,
contig-100_1_491,K00647
contig-100_1_492,K15461
contig-100_1_493,
contig-100_1_494,K09906
contig-100_1_495,K07090
contig-100_1_496,K07261
contig-100_1_497,K01736
contig-100_1_498,K07320
contig-100_1_499,
contig-100_1_500,K08296
contig-100_1_501,K01782
contig-100_1_502,K00632
contig-100_1_503,
contig-100_1_504,K06076
contig-100_1_505,K04754
contig-100_1_506,K21990
contig-100_1_507,
contig-100_1_508,K11921
contig-100_1_509,K03449
contig-100_1_510,K14261
contig-100_1_511,K02478
contig-100_1_512,K02477
contig-100_1_513,K00845
contig-100_1_514,
contig-100_1_515,K04103
contig-100_1_516,K19265
contig-100_1_517,
contig-100_1_518,K03322
contig-100_1_519,K11535
contig-100_1_520,
contig-100_1_521,
contig-100_1_522,
contig-100_1_523,K01885
contig-100_1_524,
contig-100_1_525,K11537
contig-100_1_526,K03815
contig-100_1_527,
contig-100_1_528,K14347
contig-100_1_529,K09954
contig-100_1_530,K01972
contig-100_1_531,K03528
contig-100_1_532,K06203
contig-100_1_533,K01738
contig-100_1_534,K02784
contig-100_1_535,K08483
contig-100_1_536,K02777
contig-100_1_537,
contig-100_1_538,K00868
contig-100_1_539,
contig-100_1_540,K01951
contig-100_1_541,
contig-100_1_542,K12339
contig-100_1_543,K02045
contig-100_1_544,K02047
contig-100_1_545,K02046
contig-100_1_546,K02048
contig-100_1_547,K07223
contig-100_1_548,
contig-100_1_549,
contig-100_1_550,
contig-100_1_551,K01448
contig-100_1_552,K00228
contig-100_1_553,K04033
contig-100_1_554,K04025
contig-100_1_555,K04026
contig-100_1_556,K03736
contig-100_1_557,K03735
contig-100_1_558,K04019
contig-100_1_559,K04023
contig-100_1_560,K04022
contig-100_1_561,K04024
contig-100_1_562,K04021
contig-100_1_563,K04028
contig-100_1_564,K04027
contig-100_1_565,K04020
contig-100_1_566,K04032
contig-100_1_567,K04030
contig-100_1_568,K04029
contig-100_1_569,K04031
contig-100_1_570,K00029
contig-100_1_571,K00615
contig-100_1_572,
contig-100_1_573,K12945
contig-100_1_574,
contig-100_1_575,K18324
contig-100_1_576,
contig-100_1_577,K01439
contig-100_1_578,
contig-100_1_579,K06999
contig-100_1_580,K06957
contig-100_1_581,K07054
contig-100_1_582,K01923
contig-100_1_583,K07287
contig-100_1_584,K01714
contig-100_1_585,K03567
contig-100_1_586,K03564
contig-100_1_587,K03548
contig-100_1_588,K01423
contig-100_1_589,K00537
contig-100_1_590,K10763
contig-100_1_591,K02824
contig-100_1_592,K00761
contig-100_1_593,K01223
contig-100_1_594,K18673
contig-100_1_595,K01933
contig-100_1_596,K11175
contig-100_1_597,K00937
contig-100_1_598,K01524
contig-100_1_599,
contig-100_1_600,
contig-100_1_601,
contig-100_1_602,
contig-100_1_603,
contig-100_1_604,
contig-100_1_605,
contig-100_1_606,K01951
contig-100_1_607,K00088
contig-100_1_608,K03601
contig-100_1_609,
contig-100_1_610,
contig-100_1_611,
contig-100_1_612,
contig-100_1_613,K03977
contig-100_1_614,K17713
contig-100_1_615,
contig-100_1_616,K01892
contig-100_1_617,K03526
contig-100_1_618,K15539
contig-100_1_619,K06941
contig-100_1_620,K00940
contig-100_1_621,K05367
contig-100_1_622,K06894
contig-100_1_623,
contig-100_1_624,
contig-100_1_625,
contig-100_1_626,K01011
contig-100_1_627,
contig-100_1_628,K07751
contig-100_1_629,
contig-100_1_630,K04755
contig-100_1_631,K04044
contig-100_1_632,K04082
contig-100_1_633,K13628
contig-100_1_634,K04488
contig-100_1_635,K04487
contig-100_1_636,K13643
contig-100_1_637,K15396
contig-100_1_638,K01092
contig-100_1_639,
contig-100_1_640,K06889
contig-100_1_641,
contig-100_1_642,K08970
contig-100_1_643,
contig-100_1_644,
contig-100_1_645,K05820
contig-100_1_646,K01785
contig-100_1_647,K08138
contig-100_1_648,
contig-100_1_649,
contig-100_1_650,K15977
contig-100_1_651,K00600
contig-100_1_652,K05916
contig-100_1_653,K04751
contig-100_1_654,K07715
contig-100_1_655,
contig-100_1_656,K07711
contig-100_1_657,K01952
contig-100_1_658,K18691
contig-100_1_659,K11991
contig-100_1_660,K18697
contig-100_1_661,
contig-100_1_662,
contig-100_1_663,K00997
contig-100_1_664,K03474
contig-100_1_665,K03584
contig-100_1_666,K03595
contig-100_1_667,K03685
contig-100_1_668,K03100
contig-100_1_669,K03596
contig-100_1_670,K03803
contig-100_1_671,K03598
contig-100_1_672,K03597
contig-100_1_673,K03088
contig-100_1_674,K00278
contig-100_1_675,K15460
contig-100_1_676,K05590
contig-100_1_677,K06866
contig-100_1_678,K03648
contig-100_1_679,K03214
contig-100_1_680,K03672
contig-100_1_681,K05812
contig-100_1_682,K09181
contig-100_1_683,K00998
contig-100_1_684,K05811
contig-100_1_685,K03761
contig-100_1_686,
contig-100_2_687,K19221
contig-100_2_688,K01676
contig-100_2_689,K01425
contig-100_2_690,
contig-100_2_691,
contig-100_2_692,
contig-100_2_693,K04835
contig-100_2_694,K19268
contig-100_2_695,
contig-100_2_696,K01846
contig-100_2_697,
contig-100_2_698,K00425
contig-100_2_699,K00426
contig-100_2_700,K00424
contig-100_2_701,
contig-100_2_702,K07107
contig-100_2_703,K03562
contig-100_2_704,K03560
contig-100_2_705,K03646
contig-100_2_706,K03641
contig-100_2_707,K03640
contig-100_2_708,
contig-100_2_709,K03517
contig-100_2_710,K03811
contig-100_2_711,K16264
contig-100_2_712,
contig-100_2_713,K01626
contig-100_2_714,K01834
contig-100_2_715,K01785
contig-100_2_716,K00849
contig-100_2_717,K00965
contig-100_2_718,K01784
contig-100_2_719,K05776
contig-100_2_720,K02019
contig-100_2_721,
contig-100_2_722,K02020
contig-100_2_723,K02018
contig-100_2_724,K02017
contig-100_2_725,
contig-100_2_726,K07404
contig-100_2_727,
contig-100_2_728,K00375
contig-100_2_729,K21976
contig-100_2_730,
contig-100_2_731,K21974
contig-100_2_732,K21973
contig-100_2_733,K21972
contig-100_2_734,
contig-100_2_735,
contig-100_2_736,K01051
contig-100_2_737,K01468
contig-100_2_738,K01479
contig-100_2_739,K05836
contig-100_2_740,K01712
contig-100_2_741,K01745
contig-100_2_742,K16234
contig-100_2_743,
contig-100_2_744,K00833
contig-100_2_745,K01012
contig-100_2_746,K00652
contig-100_2_747,K02169
contig-100_2_748,K01935
contig-100_2_749,K11963
contig-100_2_750,K03702
contig-100_2_751,
contig-100_2_752,K07643
contig-100_2_753,K07771
contig-100_2_754,K03760
contig-100_2_755,
contig-100_2_756,K03639
contig-100_2_757,K03638
contig-100_2_758,K03637
contig-100_2_759,K03636
contig-100_2_760,K03635
contig-100_2_761,K06890
contig-100_2_762,K07027
contig-100_2_763,K06131
contig-100_2_764,
contig-100_2_765,
contig-100_2_766,K01992
contig-100_2_767,K01992
contig-100_2_768,K01990
contig-100_2_769,K01993
contig-100_2_770,K23777
contig-100_2_771,
contig-100_2_772,
contig-100_2_773,
contig-100_2_774,K00615
contig-100_2_775,K00615
contig-100_2_776,K11927
contig-100_2_777,K03722
contig-100_2_778,
contig-100_2_779,
contig-100_2_780,
contig-100_2_781,
contig-100_2_782,K06970
contig-100_2_783,K22044
contig-100_2_784,K10038
contig-100_2_785,K10037
contig-100_2_786,K10036
contig-100_2_787,
contig-100_2_788,K04047
contig-100_2_789,K11939
contig-100_2_790,K11934
contig-100_2_791,
contig-100_2_792,
contig-100_2_793,K11924
contig-100_2_794,
contig-100_2_795,
contig-100_2_796,K01223
contig-100_2_797,K03492
contig-100_2_798,K19235
contig-100_2_799,
contig-100_2_800,
contig-100_2_801,K01187
contig-100_2_802,K08191
contig-100_2_803,
contig-100_2_804,
contig-100_2_805,K07757
contig-100_2_806,K00656
contig-100_2_807,K04069
contig-100_2_808,K21029
contig-100_2_809,K03750
contig-100_2_810,K13051
contig-100_2_811,K13892
contig-100_2_812,K13889
contig-100_2_813,K13890
contig-100_2_814,K13891
contig-100_2_815,K14441
contig-100_2_816,
contig-100_2_817,K02532
contig-100_2_818,K19688
contig-100_2_819,K21430
contig-100_2_820,K00799
contig-100_2_821,K14059
contig-100_2_822,
contig-100_2_823,
contig-100_2_824,
contig-100_2_825,
contig-100_2_826,
contig-100_2_827,
contig-100_2_828,
contig-100_2_829,
contig-100_2_830,
contig-100_2_831,K03497
contig-100_2_832,
contig-100_2_833,
contig-100_2_834,
contig-100_2_835,
contig-100_2_836,K12149
contig-100_2_837,
contig-100_2_838,
contig-100_2_839,
contig-100_2_840,K06921
contig-100_2_841,
contig-100_2_842,K03791
contig-100_2_843,
contig-100_2_844,
contig-100_2_845,
contig-100_2_846,
contig-100_2_847,
contig-100_2_848,
contig-100_2_849,
contig-100_2_850,
contig-100_2_851,
contig-100_2_852,
contig-100_2_853,
contig-100_2_854,
contig-100_2_855,
contig-100_2_856,
contig-100_2_857,
contig-100_2_858,
contig-100_2_859,
contig-100_2_860,
contig-100_2_861,
contig-100_2_862,
contig-100_2_863,
contig-100_2_864,
contig-100_2_865,K07258
contig-100_2_866,K11534
contig-100_2_867,K19302
contig-100_2_868,K08160
contig-100_2_869,K20861
contig-100_2_870,
contig-100_2_871,K23778
contig-100_2_872,K07085
contig-100_2_873,
contig-100_2_874,K03674
contig-100_2_875,
contig-100_2_876,K10678
contig-100_2_877,K05844
contig-100_2_878,
contig-100_2_879,K11073
contig-100_2_880,K11076
contig-100_2_881,K11075
contig-100_2_882,K11074
contig-100_2_883,
contig-100_2_884,K03212
contig-100_2_885,K02483
contig-100_2_886,
contig-100_2_887,K09996
contig-100_2_888,K09998
contig-100_2_889,K09999
contig-100_2_890,K09997
contig-100_2_891,K10000
contig-100_2_892,
contig-100_2_893,
contig-100_2_894,K11066
contig-100_2_895,
contig-100_2_896,
contig-100_2_897,K01620
contig-100_2_898,K00156
contig-100_2_899,K15977
contig-100_2_900,K11933
contig-100_2_901,K05601
contig-100_2_902,
contig-100_2_903,K06188
contig-100_2_904,K07459
contig-100_2_905,K13888
contig-100_2_906,K05685
contig-100_2_907,K03704
contig-100_2_908,K06891
contig-100_2_909,K03694
contig-100_2_910,K02518
contig-100_2_911,K00684
contig-100_2_912,K16012
contig-100_2_913,K16013
contig-100_2_914,K00384
contig-100_2_915,K03719
contig-100_2_916,K03466
contig-100_2_917,K03634
contig-100_2_918,K07478
contig-100_2_919,K01875
contig-100_2_920,K07306
contig-100_2_921,K07307
contig-100_2_922,K07308
contig-100_2_923,K08219
contig-100_2_924,
contig-100_2_925,K00615
contig-100_2_926,K00615
contig-100_2_927,K03475
contig-100_2_928,K02822
contig-100_2_929,
contig-100_2_930,K04069
contig-100_2_931,K00656
contig-100_2_932,K06212
contig-100_2_933,K09136
contig-100_2_934,
contig-100_2_935,K00831
contig-100_2_936,K00800
contig-100_2_937,K07387
contig-100_2_938,K00945
contig-100_2_939,K02945
contig-100_2_940,K05788
contig-100_2_941,K02238
contig-100_2_942,K02238
contig-100_2_943,K11085
contig-100_2_944,K00912
contig-100_2_945,K09927
contig-100_2_946,K09791
contig-100_2_947,K00979
contig-100_2_948,
contig-100_2_949,
contig-100_2_950,K06219
contig-100_2_951,K03633
contig-100_2_952,K03804
contig-100_2_953,K03632
contig-100_2_954,K21470
contig-100_2_955,
contig-100_2_956,K01069
contig-100_2_957,K00813
contig-100_2_958,K09476
contig-100_2_959,K01893
contig-100_2_960,K00763
contig-100_2_961,K01256
contig-100_2_962,K15555
contig-100_2_963,K15554
contig-100_2_964,K00299
contig-100_2_965,K00254
contig-100_2_966,K18657
contig-100_2_967,K07140
contig-100_2_968,K12297
contig-100_2_969,K15738
contig-100_2_970,K03808
contig-100_2_971,K06192
contig-100_2_972,K09857
contig-100_2_973,K03812
contig-100_2_974,K01716
contig-100_2_975,K04770
contig-100_2_976,K09911
contig-100_2_977,K03286
contig-100_2_978,K13053
contig-100_2_979,K07343
contig-100_2_980,
contig-100_2_981,
contig-100_2_982,K03658
contig-100_2_983,K01734
contig-100_2_984,K06929
contig-100_2_985,
contig-100_3_986,K07351
contig-100_3_987,K07345
contig-100_3_988,
contig-100_3_989,
contig-100_3_990,
contig-100_3_991,K19338
contig-100_3_992,K13635
contig-100_3_993,K16291
contig-100_3_994,
contig-100_3_995,K03566
contig-100_3_996,K07552
contig-100_3_997,
contig-100_3_998,K00483
contig-100_3_999,K13063
contig-100_3_1000,K01252
contig-100_3_1001,K00216
contig-100_3_1002,K01626
contig-100_3_1003,
contig-100_3_1004,
contig-100_3_1005,
contig-100_3_1006,
contig-100_3_1007,
contig-100_3_1008,
contig-100_3_1009,
contig-100_3_1010,K01241
contig-100_3_1011,
contig-100_3_1012,
contig-100_3_1013,
contig-100_3_1014,K12973
contig-100_3_1015,
contig-100_3_1016,
contig-100_3_1017,
contig-100_3_1018,
contig-100_3_1019,K11932
contig-100_3_1020,
contig-100_3_1021,K23721
contig-100_3_1022,
contig-100_3_1023,
contig-100_3_1024,K09933
contig-100_3_1025,K09476
contig-100_3_1026,
contig-100_3_1027,
contig-100_3_1028,K06950
contig-100_3_1029,K00558
contig-100_3_1030,K07458
contig-100_3_1031,
contig-100_3_1032,K09781
contig-100_3_1033,
contig-100_3_1034,K21085
contig-100_3_1035,
contig-100_3_1036,
contig-100_3_1037,K07781
contig-100_3_1038,
contig-100_3_1039,K01176
contig-100_3_1040,K02424
contig-100_3_1041,K05396
contig-100_3_1042,K10009
contig-100_3_1043,K10010
contig-100_3_1044,K07782
contig-100_3_1045,
contig-100_3_1046,K07689
contig-100_3_1047,K03703
contig-100_3_1048,K00995
contig-100_3_1049,K01714
contig-100_3_1050,K07039
contig-100_3_1051,K03834
contig-100_3_1052,
contig-100_3_1053,K02217
contig-100_3_1054,
contig-100_3_1055,
contig-100_3_1056,
contig-100_3_1057,K16210
contig-100_3_1058,K02255
contig-100_3_1059,
contig-100_3_1060,K10537
contig-100_3_1061,K10539
contig-100_3_1062,K10538
contig-100_3_1063,K01087
contig-100_3_1064,K00697
contig-100_3_1065,K14064
contig-100_3_1066,K16210
contig-100_3_1067,K15532
contig-100_3_1068,K01887
contig-100_3_1069,K09907
contig-100_3_1070,K06201
contig-100_3_1071,K15257
contig-100_3_1072,K15256
contig-100_3_1073,K07136
contig-100_3_1074,
contig-100_3_1075,
contig-100_3_1076,K01876
contig-100_3_1077,K08310
contig-100_3_1078,
contig-100_3_1079,K01159
contig-100_3_1080,
contig-100_3_1081,K03550
contig-100_3_1082,K03551
contig-100_3_1083,K09816
contig-100_3_1084,K09817
contig-100_3_1085,K09815
contig-100_3_1086,K19304
contig-100_3_1087,K02560
contig-100_3_1088,K00873
contig-100_3_1089,K19337
contig-100_3_1090,K00036
contig-100_3_1091,K01690
contig-100_3_1092,K01625
contig-100_3_1093,K08289
contig-100_3_1094,K09918
contig-100_3_1095,
contig-100_3_1096,K01354
contig-100_3_1097,K10857
contig-100_3_1098,K02345
contig-100_3_1099,K07156
contig-100_3_1100,K07245
contig-100_3_1101,
contig-100_3_1102,
contig-100_3_1103,K07347
contig-100_3_1104,K07346
contig-100_3_1105,
contig-100_3_1106,
contig-100_3_1107,K09824
contig-100_3_1108,K07313
contig-100_3_1109,
contig-100_3_1110,
contig-100_3_1111,K11392
contig-100_3_1112,
contig-100_3_1113,K03808
contig-100_3_1114,K08968
contig-100_3_1115,K03607
contig-100_3_1116,K03797
contig-100_3_1117,K03799
contig-100_3_1118,K08169
contig-100_3_1119,K19333
contig-100_3_1120,
contig-100_3_1121,
contig-100_3_1122,K03704
contig-100_3_1123,K03587
contig-100_3_1124,K00563
contig-100_3_1125,K23242
contig-100_3_1126,
contig-100_3_1127,K02796
contig-100_3_1128,K02795
contig-100_3_1129,K02794
contig-100_3_1130,
contig-100_3_1131,K21090
contig-100_3_1132,K01752
contig-100_3_1133,
contig-100_3_1134,K01665
contig-100_3_1135,K09917
contig-100_3_1136,
contig-100_3_1137,
contig-100_3_1138,K02027
contig-100_3_1139,K02025
contig-100_3_1140,K02026
contig-100_3_1141,K10112
contig-100_3_1142,
contig-100_3_1143,
contig-100_3_1144,K03722
contig-100_3_1145,K14742
contig-100_3_1146,K07285
contig-100_3_1147,K01897
contig-100_3_1148,K03684
contig-100_3_1149,K03608
contig-100_3_1150,K03609
contig-100_3_1151,K03610
contig-100_3_1152,K09902
